topic,name,color,page
Paul Thomas Anderson's oeuvre,Petunia's receptionist dress,"53, 0, 22, 0",112
Paul Thomas Anderson's oeuvre,Dirk Diggler's Corvette Stingray,"7, 50, 100, 0",112
Paul Thomas Anderson's oeuvre,Postcard from Shasta aboard the Golden Fang,"74, 31, 25, 0",112
Paul Thomas Anderson's oeuvre,Cabbage farm in Salinas,"85, 43, 74, 38",112
Paul Thomas Anderson's oeuvre,Dr. Threeply at Chryskylodon's collar,"53, 9, 73, 0",112
Paul Thomas Anderson's oeuvre,Amber Waves's perfume bottle,"14, 42, 21, 0",112
Paul Thomas Anderson's oeuvre,Doc Sportello's telephone receiver,"55, 17, 59, 0",112
Paul Thomas Anderson's oeuvre,Dirk Diggler's swim trunks,"3, 50, 100, 0",112
Paul Thomas Anderson's oeuvre,Rollergirl's heart-shaped sunglasses,"7, 9, 73, 0",112
Paul Thomas Anderson's oeuvre,Chick Planet Massage,"74, 88, 43, 45",112
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA All-Star Game, Los Angeles, February 20, 2011 ","58, 82, 39, 23",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Chicago Bulls vs. Miami Heat, May 24, 2011 ","3, 69, 40, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Miami Heat vs. Chicago Bulls, April 12, 2012"," 7, 62, 90, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Los Angeles Lakers vs. Denver Nuggets, May 6, 2012","33, 0, 21, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Denver Nuggets vs. Los Angeles Lakers, May 8, 2012","6 7, 39, 0, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA Draft,June 28, 2012","14, 91, 17, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA All-Star Weekend, Houston, February 16, 2013","69, 1, 19, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Oklahoma City Thunder vs. Golden State Warriors, April 11, 2013 ","19, 22, 38, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Chicago Bulls vs. Miami Heat, May 6, 2013","0, 59, 76, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Chicago Bulls vs. Miami Heat, May 8, 2013","75, 44, 10, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Chicago Bulls vs. Miami Heat, May 15, 2013","0, 79, 21, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Indiana Pacers vs. Miami Heat, May 22, 2013","40, 0, 5, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Indiana Pacers vs. Miami Heat, May 30, 2013","0, 82, 0, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Oklahoma City Thunder vs. Golden State Warriors, November 14, 2013","14, 5, 5, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA All-Star Weekend, New Orleans, February 14, 2014 ","14, 100, 92, 4",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Oklahoma City Thunder vs. Chicago Bulls, March 5, 2015"," 13, 95, 100, 3",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","New Orleans Pelicans vs. Golden State Warriors, October 27, 2015 ","0, 50, 100, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","Boston Celtics vs. Atlanta Hawks, November 24, 2015 ","0, 91, 76, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA All-Star Weekend, Toronto, February 13, 2016","78, 60, 0, 0",114
"Craig Sager's suits, in chronological order over the course of his sportscasting career","NBA All-Star Practice, Toronto, February 13, 2016","18, 66, 23, 0",114
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. New Orleans Hornets, March 27, 2009 ","77, 64, 44, 29",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Sacramento Kings vs. New York Knicks, November 17, 2010","14, 98, 100, 4",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Boston Celtics, April 23, 2013","17, 37 , 70 , 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Milwaukee Bucks, October 30, 2013","15, 0 , 5, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Sacramento Kings vs. New York Knicks, March 26, 2014","58, 32 , 42 , 3",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Miami Heat vs. New York Knicks, November 23, 2015","9, 49, 55, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","NBA All-Star Game, New York, February 15, 2015","23, 88, 100, 17",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. New Orleans Pelicans,January 19, 2015","13, 100, 100, 4",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Atlanta Hawks vs. New York Knicks, December 28, 2016 ","3, 80, 72, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Los Angeles Clippers vs. New York Knicks, March 11, 2016 ","43, 0, 5, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Boston Celtics,January 12, 2016","0, 50, 46, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Memphis Grizzlies, October 29, 2016","0, 74, 51, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","NBA Draft Lottery, May 16, 2017","58, 78, 18, 3",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Washington Wizards, December 3, 2018","0, 36, 77, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Brooklyn Nets vs. New York Knicks, December 26, 2019","7, 32, 26, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Detroit Pistons, April 10, 2019 ","4, 15, 13, 0",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Los Angeles Clippers, March 24, 2019","32, 99, 70, 36",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","New York Knicks vs. Los Angeles Lakers, March 17, 2019","84, 54, 60, 44",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Cleveland Cavaliers vs. New York Knicks, February 3, 2020","22, 82, 100, 13",116
"Walt Frazier's suits, in chronological order over the course of his sportscasting career","Houston Rockets vs. New York Knicks, February 24, 2020","24, 100, 100",116
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","San Antonio Spurs vs. Washington Bullets, December 30, 1994","9, 35, 100, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","San Antonio Spurs vs. New York Knicks, October 18, 1994","10, 100, 55, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","San Antonio Spurs vs. Denver Nuggets,January 28, 1995","25, 100, 61, 15",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","San Antonio Spurs vs. Denver Nuggets, May 2, 1995","25, 100, 100, 26",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Los Angeles Lakers vs. San Antonio Spurs, May 8, 1995 ","80, 16, 100, 4",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Los Angeles Lakers vs. San Antonio Spurs, May 14, 1995 ","62, 19, 100, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Los Angeles Lakers vs. San Antono Spurs, May 16, 1995  ","19, 100, 100, 10",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","San Antono Spurs vs. Houston Rockets, June 1, 1995  ","7, 28, 86, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Cleveland Cavaliers, October 13, 1995  ","21, 100, 100, 1",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Washington Bullets, October 17, 1995  ","29, 37, 71, ",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Charlotte Hornets vs. Chicago Bulls, November 3, 1995","6, 17, 88, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","New York Knicks vs. Chicago Bulls, December 6, 1995  ","83, 17, 84, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Seattle SuperSonics vs. Chicago Bulls,January 10, 1996","0, 4, 4, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Boston Celtics, March 2, 1996  ","8, 29, 6, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Miami Heat vs. Chicago Bulls, Aprl 2, 1996  ","7, 96, 86, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Orlando Magc, Aprl 7, 1996  ","18, 100, 91, 9",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Charlotte Hornets vs. Chicago Bulls, Aprl 8, 1996  ","14, 100, 80, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","New Jersey Nets vs. Chicago Bulls,, Aprl n, 1996  ","0, 77, 22, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career",Chicago Bull vs. Milwaukee Bucks Aprl 16 1996  ,"21, 82, 71, 9",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Indiana Pacers vs. Chicago Bulls, Aprl 20, 1996  ","9, 57, 88, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Washington Bullets, Aprl 21, 1996  ","0, 94, 93, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Miami Heat, Aprl 28, 1996 ","14, 97, 100, 4",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","New York Knicks vs. Chicago Bulls, May 7, 1996  ","7, 6, 13, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Seattle SuperSonics,June 14, 1996  ","11, 33, 96, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Seattle SuperSonics vs. Chicago Bulls.June 16, 1996  ","94, 83, 47, 56",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Orlando Magc vs. Chicago Bulls,January 3, 1997  ","6, 75, 22, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. New York Knicks, March 9, 1997  ","16, 96, 13, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Seattle SuperSonics vs. Chicago Bulls, March 18, 1997  ","51, 85, 14, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Miami Heat vs. Chicago Bulls, May 28, 1997  ","13, 100, 100, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Utah Jazz,June 8, 1997  ","21, 92, 60, 6",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Utah Jazz vs. Chicago Bulls,June n, 1997  ","4, 100, 100, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Utah Jazz vs. Chicago Bulls,June 13, 1997  ","80, 32, 81, 19",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Indiana Pacers, November 20, 1997  ","3, 6, 57, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Orlando Magc, December 10, 1997  ","9, 88, 100, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Los Angeles Lakers vs. Chicago Bulls, December 17, 1997  ","24, 95, 95, 20",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Los Angeles Clippers, December 23, 1997  ","19, 80, 88, 8",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Indiana Pacers vs. Chicago Bulls, May 27, 1998  ","6, 44, 82, 0",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Chicago Bulls vs. Utah Jazz,June 14, 1998  ","62, 18, 100, 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Dallas Mavericks vs. Toronto Raptors, February 22, 2000  ","12, 75, 87 , 3",118
"Dennis Rodman's hair dye, in chronological order over the course of his NBA career","Dallas Mavericks vs. Seattle SuperSonics, March 7, 2000  ","69, 55, 19, 3",118
"Title cards from the second season of Saturday Night Live, 1976-77","Baba Wawa at Large, Broderick Crawford, March 19, 1977  ","22, 92, 28, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","Least-Loved Bedtime Tales, Buck Henry, October 30, 1976 ","79, 23, 100, 9",122
"Title cards from the second season of Saturday Night Live, 1976-77","Not for First Ladies Only, Buck Henry, October 30, 1976  ","15, 96, 100, 5",122
"Title cards from the second season of Saturday Night Live, 1976-77","Consumer Probe, Candice Bergen, December n, 1976  ","3, 52, 0, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","How Things Work, Dick Cavett, November 13, 1976  ","76, 57, 21, 3",122
"Title cards from the second season of Saturday Night Live, 1976-77","Crossroads, Dick Cavett, November 13, 1976  ","24, 23, 10, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","You've Come a Long Way, Buddy, Elliott Gould, April 16, 1977  ","11, 40, 82, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","A Fireside Chat, Buck Henry, May 21, 1977  ","4, 28, 7, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","The Undersea World of Jacques Cousteau, Ericdle, October 2, 1976  ","46, 29, 0, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","Great Momentsn Motown,Julian Bond, April 9, 1977  ","27, 87, 100, 25",122
"Title cards from the second season of Saturday Night Live, 1976-77","Baba Wawa at Large, Karen Black, October 16, 1976 ","51, 18, 17, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","Love Russian Style, Karen Black, October 16, 1976  ","34, 31, 19, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","Baba Wawa at Large, Paul Simon, November 20, 1976  ","80, 100, 27, 22",122
"Title cards from the second season of Saturday Night Live, 1976-77","Baba Wawa at Large, Shelley Duvall, May 14, 1977  ","27, 91, 0, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","Looks at Books, Steve Martin, October 23, 1976  ","3, 17, 78, 0",122
"Title cards from the second season of Saturday Night Live, 1976-77","John Belushi's Dream, Sissy Spacek, March 12, 1977  ","25, 77, 96, 16",122
How Pete Davidson dresses from the waist up on Weekend Update,"Season 42, Melissa McCarthy, May 13, 2017  ","3, 92, 64, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 42, Seth Meyers, August 24, 2017  ","0, 54, 77, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 43, Gal Gadot, October 7, 2017","3, 34, 0, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 43, Chance the Rapper, November 18, 2017  ","58, 84, 3, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 43, Bill Hader, March 17, 2018  ","47, 28, 0, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 43, Donald Glover, May 5, 2018  ","54, 0, 43 , 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 44, Adam Driver, September 29, 2018  ","0, 85, 78, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 44,Jonah Hill, November 3, 2018  ","0, 67, 74, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 44, Liev Schreiber, November 10, 2018  ","0, 31, 16, 0 ",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 44, Idris Elba, March 9, 2019  ","0, 23, 85, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 44, Emma Thompson, May n, 2019  ","34, 0, 4, 0",124
How Pete Davidson dresses from the waist up on Weekend Update,"Season 45, David Harbour, October 12, 2019  ","0, 28, 0, 0",124
"Spike Lee's eyeglasses, 1989-2020","New York City, 1989  ","100, 78, 21, 0",126
"Spike Lee's eyeglasses, 1989-2020","Schomburg Center for Research in Black Culture, 1992  ","60, 59, 55, 32",126
"Spike Lee's eyeglasses, 1989-2020","On the set of Crooklyn, 1994  ","78, 70, 58, 70",126
"Spike Lee's eyeglasses, 1989-2020","Inside Man premiere, 2006  ","23, 93, 100, 18",126
"Spike Lee's eyeglasses, 1989-2020","New Orleans, 2006  ","24, 82, 100, 17",126
"Spike Lee's eyeglasses, 1989-2020","Critics' Choice Awards, 2007  ","29, 84, 100, 30",126
"Spike Lee's eyeglasses, 1989-2020","Toronto International Film Festival, 2008  ","18, 30, 100, 0",126
"Spike Lee's eyeglasses, 1989-2020","Madison Square Garden, 2011 ","17, 60, 100, 3",126
"Spike Lee's eyeglasses, 1989-2020","Madison Square Garden, 2015","15, 99, 100, 6",126
"Spike Lee's eyeglasses, 1989-2020","New York City, 2015  ","0, 87, 100, 0",126
"Spike Lee's eyeglasses, 1989-2020","Tribeca Film Festival, 2015  ","18, 25, 56, 0",126
"Spike Lee's eyeglasses, 1989-2020","Sundance Film Festival, 2016  ","88, 77, 55, 70",126
"Spike Lee's eyeglasses, 1989-2020","BlacKkKlansman premiere, 2018  ","73, 52, 0, 0",126
"Spike Lee's eyeglasses, 1989-2020","Los Angeles, 2018  ","6, 53, 100, 0",126
"Spike Lee's eyeglasses, 1989-2020","Bel Air, California, 2018  ","3, 13, 99, 0",126
"Spike Lee's eyeglasses, 1989-2020","Marriage Story premiere, 2019  ","100, 96, 4, 3",126
"Spike Lee's eyeglasses, 1989-2020","NBA Draft, 2019  ","0, 84, 83, 0",126
"Spike Lee's eyeglasses, 1989-2020","91st Annual Academy Awards, 2019  ","60, 97, 31, 16",126
"Spike Lee's eyeglasses, 1989-2020","New York City, 2020  ","4, 3, 3, 0",126
"Spike Lee's eyeglasses, 1989-2020","New York City, 2020","22, 0, 27, 0",126